id,problem_name,link,difficulty,pattern
0,Contains Duplicate,https://leetcode.com/problems/contains-duplicate,Easy,
1,Missing Number,https://leetcode.com/problems/missing-number,Easy,
2,Find All Numbers Disappeared in an Array,https://leetcode.com/problems/find-all-numbers-disappeared-in-an-array,Easy,
3,Single Number,https://leetcode.com/problems/single-number,Easy,
4,Product of Array Except Self,https://leetcode.com/problems/product-of-array-except-self,Medium,
5,Find the Duplicate Number,https://leetcode.com/problems/find-the-duplicate-number,Medium,
6,Find All Duplicates in an Array,https://leetcode.com/problems/find-all-duplicates-in-an-array,Medium,
7,Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes,Medium,
8,Spiral Matrix,https://leetcode.com/problems/spiral-matrix,Medium,
9,Rotate Image,https://leetcode.com/problems/rotate-image,Medium,
10,Word Search,https://leetcode.com/problems/word-search,Medium,
11,First Missing Positive,https://leetcode.com/problems/first-missing-positive,Hard,
12,Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence,Medium,
13,Letter Case Permutation,https://leetcode.com/problems/letter-case-permutation,Medium,
14,Subsets,https://leetcode.com/problems/subsets,Medium,
15,Subsets II,https://leetcode.com/problems/subsets-ii,Medium,
16,Permutations,https://leetcode.com/problems/permutations,Medium,
17,Permutations II,https://leetcode.com/problems/permutations-ii,Medium,
18,Combinations,https://leetcode.com/problems/combinations,Medium,
19,Combination Sum,https://leetcode.com/problems/combination-sum,Medium,
20,Combination Sum II,https://leetcode.com/problems/combination-sum-ii,Medium,
21,Combination Sum III,https://leetcode.com/problems/combination-sum-iii,Medium,
22,Generate Parentheses,https://leetcode.com/problems/generate-parentheses,Medium,
23,Target Sum,https://leetcode.com/problems/target-sum,Medium,
24,Palindrome Partitioning,https://leetcode.com/problems/palindrome-partitioning,Medium,
25,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number,Medium,
26,Generalized Abbreviation,https://leetcode.com/problems/generalized-abbreviation,Medium,
27,Sudoku Solver,https://leetcode.com/problems/sudoku-solver,Hard,
28,N-Queens,https://leetcode.com/problems/n-queens,Hard,
29,Climbing Stairs,https://leetcode.com/problems/climbing-stairs,Easy,
30,House Robber,https://leetcode.com/problems/house-robber,Medium,
31,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Easy,
32,Maximum Subarray,https://leetcode.com/problems/maximum-subarray,Medium,
33,Range Sum Query - Immutable,https://leetcode.com/problems/range-sum-query-immutable,Easy,
34,House Robber II,https://leetcode.com/problems/house-robber-ii,Medium,
35,Coin Change,https://leetcode.com/problems/coin-change,Medium,
36,Maximum Product Subarray,https://leetcode.com/problems/maximum-product-subarray,Medium,
37,Longest Increasing Subsequence,https://leetcode.com/problems/longest-increasing-subsequence,Medium,
38,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring,Medium,
39,Word Break,https://leetcode.com/problems/word-break,Medium,
40,Combination Sum IV,https://leetcode.com/problems/combination-sum-iv,Medium,
41,Decode Ways,https://leetcode.com/problems/decode-ways,Medium,
42,Unique Paths,https://leetcode.com/problems/unique-paths,Medium,
43,Jump Game,https://leetcode.com/problems/jump-game,Medium,
44,Palindromic Substrings,https://leetcode.com/problems/palindromic-substrings,Medium,
45,Number of Longest Increasing Subsequence,https://leetcode.com/problems/number-of-longest-increasing-subsequence,Medium,
46,Partition Equal Subset Sum,https://leetcode.com/problems/partition-equal-subset-sum,Medium,
47,Partition to K Equal Sum Subsets,https://leetcode.com/problems/partition-to-k-equal-sum-subsets,Medium,
48,Best Time to Buy and Sell Stock with Cooldown,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown,Medium,
49,Counting Bits,https://leetcode.com/problems/counting-bits,Easy,
50,Linked List Cycle,https://leetcode.com/problems/linked-list-cycle,Easy,
51,Middle of the Linked List,https://leetcode.com/problems/middle-of-the-linked-list,Easy,
52,Reverse Linked List,https://leetcode.com/problems/reverse-linked-list,Easy,
53,Palindrome Linked List,https://leetcode.com/problems/palindrome-linked-list,Easy,
54,Remove Linked List Elements,https://leetcode.com/problems/remove-linked-list-elements,Easy,
55,Remove Duplicates from Sorted List,https://leetcode.com/problems/remove-duplicates-from-sorted-list,Easy,
56,Linked List Cycle II,https://leetcode.com/problems/linked-list-cycle-ii,Medium,
57,Add Two Numbers,https://leetcode.com/problems/add-two-numbers,Medium,
58,Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list,Medium,
59,Sort List,https://leetcode.com/problems/sort-list,Medium,
60,Reorder List,https://leetcode.com/problems/reorder-list,Medium,
61,Pacific Atlantic Water Flow,https://leetcode.com/problems/pacific-atlantic-water-flow,Medium,
62,Number of Islands,https://leetcode.com/problems/number-of-islands,Medium,
